textbox22
generated on 06/09/2018 19:42:08 UTC

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Angola,African Region of WHO,Middle Africa,2010,1,2010-01-04,2010-01-10,4,4,0,0,0,0,0,0,0,0,0,0,0,,No Report
Angola,African Region of WHO,Middle Africa,2010,2,2010-01-11,2010-01-17,19,19,0,0,0,0,0,0,0,0,0,0,0,,No Report
Angola,African Region of WHO,Middle Africa,2010,3,2010-01-18,2010-01-24,9,9,0,0,0,0,0,0,0,0,0,0,0,,No Report
Angola,African Region of WHO,Middle Africa,2010,4,2010-01-25,2010-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Angola,African Region of WHO,Middle Africa,2010,5,2010-02-01,2010-02-07,26,26,0,0,0,0,0,0,0,0,0,0,0,,No Report
Angola,African Region of WHO,Middle Africa,2010,6,2010-02-08,2010-02-14,13,13,0,0,0,0,0,0,0,0,0,0,0,,No Report
Angola,African Region of WHO,Middle Africa,2010,7,2010-02-15,2010-02-21,25,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Angola,African Region of WHO,Middle Africa,2010,8,2010-02-22,2010-02-28,14,29,0,0,0,0,0,0,0,0,4,4,4,,No Report
Angola,African Region of WHO,Middle Africa,2010,9,2010-03-01,2010-03-07,30,30,0,0,0,0,0,0,0,0,6,6,6,,No Report
Angola,African Region of WHO,Middle Africa,2010,10,2010-03-08,2010-03-14,10,12,0,0,0,0,0,0,0,0,0,0,0,,No Report
Angola,African Region of WHO,Middle Africa,2010,11,2010-03-15,2010-03-21,22,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Angola,African Region of WHO,Middle Africa,2010,13,2010-03-29,2010-04-04,22,22,0,0,0,0,7,7,0,0,5,5,12,,No Report
Angola,African Region of WHO,Middle Africa,2010,14,2010-04-05,2010-04-11,8,8,0,0,2,0,5,7,0,0,0,0,7,,No Report
Angola,African Region of WHO,Middle Africa,2010,15,2010-04-12,2010-04-18,10,10,0,2,0,0,0,2,0,0,0,0,2,,No Report
Angola,African Region of WHO,Middle Africa,2010,16,2010-04-19,2010-04-25,8,8,0,0,0,0,0,0,0,0,0,0,0,,No Report
Angola,African Region of WHO,Middle Africa,2010,17,2010-04-26,2010-05-02,6,6,0,0,1,0,0,1,0,0,0,0,1,,No Report
Angola,African Region of WHO,Middle Africa,2010,18,2010-05-03,2010-05-09,7,7,0,3,0,0,0,3,0,0,0,0,3,,No Report
Angola,African Region of WHO,Middle Africa,2010,20,2010-05-17,2010-05-23,28,28,0,0,4,0,0,4,0,0,1,1,5,,No Report
Angola,African Region of WHO,Middle Africa,2010,21,2010-05-24,2010-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
