textbox22
generated on 06/09/2018 19:21:57 UTC

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Cameroon,African Region of WHO,Middle Africa,2007,45,2007-11-05,2007-11-11,,13,0,,0,,0,0,,,0,0,0,,No Activity
Cameroon,African Region of WHO,Middle Africa,2007,46,2007-11-12,2007-11-18,,11,0,,2,,0,2,,,0,0,2,,Sporadic
Cameroon,African Region of WHO,Middle Africa,2007,47,2007-11-19,2007-11-25,,10,1,,2,,0,3,,,0,0,3,,Sporadic
Cameroon,African Region of WHO,Middle Africa,2007,48,2007-11-26,2007-12-02,,14,,,,,0,0,,,0,0,0,,Sporadic
Cameroon,African Region of WHO,Middle Africa,2007,49,2007-12-03,2007-12-09,,9,0,,1,,0,1,,,0,0,1,,Sporadic
Cameroon,African Region of WHO,Middle Africa,2007,50,2007-12-10,2007-12-16,,21,0,,2,,0,2,,,0,0,2,,Sporadic
Cameroon,African Region of WHO,Middle Africa,2007,51,2007-12-17,2007-12-23,,6,0,,1,,0,1,,,0,0,1,,Sporadic
Cameroon,African Region of WHO,Middle Africa,2007,52,2007-12-24,2007-12-30,,6,0,,0,,0,0,,,0,0,0,,No Activity
Cameroon,African Region of WHO,Middle Africa,2008,1,2007-12-31,2008-01-06,,0,0,,0,,0,0,,,0,0,0,,No Activity
Cameroon,African Region of WHO,Middle Africa,2008,2,2008-01-07,2008-01-13,,7,0,,0,,0,0,,,0,0,0,,No Activity
Cameroon,African Region of WHO,Middle Africa,2008,3,2008-01-14,2008-01-20,,3,0,,0,,0,0,,,0,0,0,,No Activity
Cameroon,African Region of WHO,Middle Africa,2008,4,2008-01-21,2008-01-27,,15,0,,0,,0,0,,,0,0,0,,No Activity
Cameroon,African Region of WHO,Middle Africa,2008,5,2008-01-28,2008-02-03,,4,0,,0,,0,0,,,0,0,0,,No Activity
