ISO3,Country,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52,Week53
#country+code,#country+name,#affected+date+w1,#affected+date+w2,#affected+date+w3,#affected+date+w4,#affected+date+w5,#affected+date+w6,#affected+date+w7,#affected+date+w8,#affected+date+w9,#affected+date+w10,#affected+date+w11,#affected+date+w12,#affected+date+w13,#affected+date+w14,#affected+date+w15,#affected+date+w16,#affected+date+w17,#affected+date+w18,#affected+date+w19,#affected+date+w20,#affected+date+w21,#affected+date+w22,#affected+date+w23,#affected+date+w24,#affected+date+w25,#affected+date+w26,#affected+date+w27,#affected+date+w28,#affected+date+w29,#affected+date+w30,#affected+date+w31,#affected+date+w32,#affected+date+w33,#affected+date+w34,#affected+date+w35,#affected+date+w36,#affected+date+w37,#affected+date+w38,#affected+date+w39,#affected+date+w40,#affected+date+w41,#affected+date+w42,#affected+date+w43,#affected+date+w44,#affected+date+w45,#affected+date+w46,#affected+date+w47,#affected+date+w48,#affected+date+w49,#affected+date+w50,#affected+date+w51,#affected+date+w52,#affected+date+w53
BEN,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMR,Cameroon,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,2,3,1,0,4,3,3,2,0,1,17,11,7,5,10,2,5,30,3,4,0,0,0,0,0
TCD,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG,Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIV,Cote d'Ivoire,18,48,28,9,7,4,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COD,DR Congo,569,531,493,580,451,376,357,369,257,211,205,237,215,181,138,125,184,142,139,185,183,168,139,180,142,146,136,152,156,130,132,197,270,221,173,540,910,1219,1280,972,570,403,399,561,515,463,449,288,401,440,148,336,531
GHA,Ghana,19,42,10,4,16,22,40,38,60,107,85,55,36,13,8,10,4,6,6,7,3,0,1,25,18,0,8,4,4,6,8,2,0,0,8,6,2,2,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0
GIN,Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,Guinea Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,Liberia,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLI,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NER,Niger,16,6,3,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGA,Nigeria,15,218,55,295,120,110,27,21,22,945,23,42,0,7,59,22,16,21,47,0,59,9,28,7,48,100,160,278,188,198,71,118,73,137,59,155,482,223,56,223,162,204,51,30,2,0,26,28,28,18,0,12,0
CAF,RCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOG,Togo,41,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
