ISO3,Country,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52
#country+code,#country+name,#affected+date+w1,#affected+date+w2,#affected+date+w3,#affected+date+w4,#affected+date+w5,#affected+date+w6,#affected+date+w7,#affected+date+w8,#affected+date+w9,#affected+date+w10,#affected+date+w11,#affected+date+w12,#affected+date+w13,#affected+date+w14,#affected+date+w15,#affected+date+w16,#affected+date+w17,#affected+date+w18,#affected+date+w19,#affected+date+w20,#affected+date+w21,#affected+date+w22,#affected+date+w23,#affected+date+w24,#affected+date+w25,#affected+date+w26,#affected+date+w27,#affected+date+w28,#affected+date+w29,#affected+date+w30,#affected+date+w31,#affected+date+w32,#affected+date+w33,#affected+date+w34,#affected+date+w35,#affected+date+w36,#affected+date+w37,#affected+date+w38,#affected+date+w39,#affected+date+w40,#affected+date+w41,#affected+date+w42,#affected+date+w43,#affected+date+w44,#affected+date+w45,#affected+date+w46,#affected+date+w47,#affected+date+w48,#affected+date+w49,#affected+date+w50,#affected+date+w51,#affected+date+w52
BEN,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMR,Cameroon,0,0,1,0,0,1,0,14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
TCD,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,55,39,120,90,63,31,71,171,236,152,58,52,18,6,2,0,0,0,0
COG,Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIV,Cote d'Ivoire,0,0,1,0,3,0,1,0,2,0,4,2,1,2,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
COD,DR Congo,874,692,529,612,569,624,656,701,918,753,647,712,503,364,310,392,332,373,466,448,665,492,527,624,535,585,811,936,1012,1107,1083,1209,1581,1670,1842,1620,2027,2219,2504,2251,1900,2033,1898,1999,1972,1469,1623,1395,1207,1049,820,888
GHA,Ghana,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNB,Guinea Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBR,Liberia,1,0,0,0,4,1,6,3,3,2,2,7,8,2,2,68,2,7,0,0,4,1,0,0,0,2,1,0,0,1,2,0,0,2,0,2,2,2,6,3,1,0,1,0,0,1,0,1,1,6,0,0
MLI,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NER,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NGA,Nigeria,0,24,1,7,5,0,1,0,7,1,0,1,20,0,7,1,0,258,290,290,2,77,126,108,82,186,109,36,80,2,23,92,22,91,604,992,1612,876,579,348,232,162,177,57,34,13,14,31,239,374,465,255
CAF,RCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,Sierra Leone,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
TOG,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
