ISO3,Country,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
#country+code,#country+name,#affected+date+w1,#affected+date+w2,#affected+date+w3,#affected+date+w4,#affected+date+w5,#affected+date+w6,#affected+date+w7,#affected+date+w8,#affected+date+w9,#affected+date+w10,#affected+date+w11,#affected+date+w12,#affected+date+w13,#affected+date+w14,#affected+date+w15,#affected+date+w16,#affected+date+w17,#affected+date+w18,#affected+date+w19,#affected+date+w20,#affected+date+w21,#affected+date+w22,#affected+date+w23,#affected+date+w24,#affected+date+w25,#affected+date+w26,#affected+date+w27,#affected+date+w28,#affected+date+w29,#affected+date+w30,#affected+date+w31,#affected+date+w32,#affected+date+w33,#affected+date+w34,#affected+date+w35,#affected+date+w36,#affected+date+w37,#affected+date+w38,#affected+date+w39,#affected+date+w40,#affected+date+w41,#affected+date+w42,#affected+date+w43,#affected+date+w44,#affected+date+w45,#affected+date+w46,#affected+date+w47,#affected+date+w48,#affected+date+w49,#affected+date+w50,#affected+date+w51,#affected+date+w52
BEN,Benin,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,77,21,15,3,1,0,0,0,1,7,7,21,47,94,88,91,62,28,25,7,6,3,0,0,0
BFA,Burkina Faso,0,0,0,0,,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,12,4,0,1,6,39,32,7,7,3,0,1,0,0,0,0,0
CMR,Cameroon,11,21,5,8,4,2,3,1,6,3,4,2,7,0,2,1,0,7,2,2,8,0,2,0,2,4,0,4,1,0,0,0,0,0,1,3,3,1,0,1,1,0,0,0,0,2,0,0,0,0,0,1
TCD,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COG,Congo,9,15,3,34,38,59,75,59,40,77,53,82,79,74,81,46,37,48,34,59,40,36,17,6,13,11,9,11,2,6,2,6,2,2,3,0,0,0,0,0,0,0,0,0,0,0,6,8,14,30,11,14
CIV,Cote d'Ivoire,18,13,13,5,5,2,7,1,2,0,1,2,0,0,0,0,1,0,16,16,16,33,70,34,34,18,13,10,4,10,24,5,2,9,9,2,1,2,2,1,1,0,0,0,1,2,0,0,3,2,1,0
COD,DR Congo,1125,854,761,866,737,811,713,614,486,497,665,646,862,863,888,932,769,766,614,674,721,538,481,446,745,743,358,349,269,355,504,438,653,640,710,693,464,502,449,447,409,439,582,354,430,296,336,324,364,196,344,316
GHA,Ghana,14,18,15,23,16,12,13,23,15,15,27,69,289,624,566,558,508,292,147,296,157,253,199,145,224,129,176,153,90,59,102,104,118,121,48,231,700,439,354,344,316,235,230,215,196,128,144,135,132,82,43,6
GIN,Guinea,0,0,0,0,10,73,29,18,51,34,57,33,12,13,12,25,27,5,14,18,24,42,32,22,22,10,57,46,128,337,674,938,1127,1152,693,518,346,219,128,121,71,59,15,11,4,11,45,40,0,2,0,0
GNB,Guinea Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,31,77,75,101,101,135,234,270,335,374,387,442,310,186,112,76,39,54
LBR,Liberia,36,20,26,19,23,23,29,16,0,12,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,4,8,13,10,6,**,90,13,15
MLI,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47,7,8,34,36,9,16,5,6,31,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NER,Niger,3,0,2,15,65,46,35,17,64,77,47,15,32,24,58,29,55,68,64,126,212,126,163,274,393,356,308,241,107,89,176,134,120,165,195,363,212,169,122,64,57,67,88,120,54,42,21,3,2,0,0,0
NGA,Nigeria,0,0,13,8,14,20,27,24,13,19,19,13,16,6,15,8,10,9,18,13,3,2,14,10,5,8,13,15,11,11,2,4,1,1,0,24,0,14,8,21,0,0,0,0,6,0,6,0,145,8,0,0
CAF,RCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEN,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIL,Sierra Leone,214,199,216,215,145,141,234,467,277,197,98,63,28,41,60,46,32,37,111,102,9,47,76,21,103,102,75,288,806,1335,1713,2139,2024,2110,1911,1492,1282,1141,841,624,433,311,204,109,65,61,39,61,**,**,**,**
TOG,Togo,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,1,38,11,0,0,0,0,0,**,**,**,**,**
