textbox22
generated on 06/09/2018 19:13:43 UTC

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Côte d'Ivoire,African Region of WHO,Western Africa,2009,1,2008-12-29,2009-01-04,2,2,,,,,,0,,,0,0,0,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2009,3,2009-01-12,2009-01-18,27,27,1,,1,,2,4,,,0,0,4,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2009,4,2009-01-19,2009-01-25,27,27,3,,,,1,4,,,0,0,4,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2009,5,2009-01-26,2009-02-01,36,36,2,,,,1,3,,,1,1,4,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2009,6,2009-02-02,2009-02-08,54,54,,,,,1,1,,,0,0,1,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2009,7,2009-02-09,2009-02-15,55,55,1,,5,,2,8,,,0,0,8,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2009,8,2009-02-16,2009-02-22,32,32,,,,,,0,,,5,5,5,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2009,9,2009-02-23,2009-03-01,27,27,1,,1,,,2,,,5,5,7,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2009,10,2009-03-02,2009-03-08,31,,,,,,,0,,,7,7,7,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2009,11,2009-03-09,2009-03-15,10,10,,,,,,0,,,1,1,1,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2009,12,2009-03-16,2009-03-22,23,,,,2,,,2,,,4,4,6,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2009,13,2009-03-23,2009-03-29,21,21,,,,,,0,,,1,1,1,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2009,14,2009-03-30,2009-04-05,17,17,1,,,,,1,,,0,0,1,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2009,15,2009-04-06,2009-04-12,33,33,,,2,,,2,,,1,1,3,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2009,16,2009-04-13,2009-04-19,22,22,,,2,,1,3,,,0,0,3,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2009,17,2009-04-20,2009-04-26,29,29,,,2,,,2,,,4,4,6,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2009,18,2009-04-27,2009-05-03,6,6,,,,,1,1,,,0,0,1,,Sporadic
Côte d'Ivoire,African Region of WHO,Western Africa,2009,19,2009-05-04,2009-05-10,45,45,10,,18,,7,35,,,1,1,36,,Local Outbreak
