textbox22
generated on 06/09/2018 19:10:36 UTC

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Ghana,African Region of WHO,Western Africa,2008,1,2007-12-31,2008-01-06,4,4,0,0,0,0,0,0,0,0,0,0,0,,No Report
Ghana,African Region of WHO,Western Africa,2008,2,2008-01-07,2008-01-13,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Report
Ghana,African Region of WHO,Western Africa,2008,3,2008-01-14,2008-01-20,4,4,0,0,0,0,0,0,0,0,0,0,0,,No Report
Ghana,African Region of WHO,Western Africa,2008,4,2008-01-21,2008-01-27,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Report
Ghana,African Region of WHO,Western Africa,2008,5,2008-01-28,2008-02-03,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Report
Ghana,African Region of WHO,Western Africa,2008,6,2008-02-04,2008-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Ghana,African Region of WHO,Western Africa,2008,7,2008-02-11,2008-02-17,3,3,0,0,0,0,0,0,0,0,0,0,0,,No Report
Ghana,African Region of WHO,Western Africa,2008,8,2008-02-18,2008-02-24,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Report
Ghana,African Region of WHO,Western Africa,2008,9,2008-02-25,2008-03-02,5,5,0,0,0,0,0,0,0,0,0,0,0,,No Report
Ghana,African Region of WHO,Western Africa,2008,10,2008-03-03,2008-03-09,4,4,1,0,0,0,0,1,0,0,0,0,1,,Sporadic
Ghana,African Region of WHO,Western Africa,2008,11,2008-03-10,2008-03-16,4,4,0,0,0,0,0,0,0,0,0,0,0,,No Report
Ghana,African Region of WHO,Western Africa,2008,12,2008-03-17,2008-03-23,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Report
Ghana,African Region of WHO,Western Africa,2008,13,2008-03-24,2008-03-30,3,3,0,0,0,0,0,0,0,0,0,0,0,,No Report
Ghana,African Region of WHO,Western Africa,2008,14,2008-03-31,2008-04-06,16,16,0,0,0,0,0,0,0,0,0,0,0,,No Report
