textbox22
generated on 06/09/2018 19:15:45 UTC

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Kenya,African Region of WHO,Eastern Africa,1998,52,1998-12-21,1998-12-27,,,,,,,,0,,,0,0,0,,No Report
Kenya,African Region of WHO,Eastern Africa,2006,4,2006-01-23,2006-01-29,,3,0,,0,,0,0,0,0,1,1,1,,No Report
Kenya,African Region of WHO,Eastern Africa,2006,11,2006-03-13,2006-03-19,,3,0,,0,,0,0,0,0,1,1,1,,No Report
Kenya,African Region of WHO,Eastern Africa,2006,13,2006-03-27,2006-04-02,,12,0,,0,,0,0,0,0,2,2,2,,No Report
Kenya,African Region of WHO,Eastern Africa,2006,14,2006-04-03,2006-04-09,,,,,1,,,1,,,0,0,1,,Sporadic
Kenya,African Region of WHO,Eastern Africa,2006,16,2006-04-17,2006-04-23,,11,0,,0,,0,0,0,0,2,2,2,,No Report
Kenya,African Region of WHO,Eastern Africa,2006,22,2006-05-29,2006-06-04,,14,0,,2,,0,2,0,0,6,6,8,,No Report
Kenya,African Region of WHO,Eastern Africa,2006,24,2006-06-12,2006-06-18,,20,0,,1,,0,1,0,0,8,8,9,,No Report
Kenya,African Region of WHO,Eastern Africa,2006,25,2006-06-19,2006-06-25,,4,0,,0,,0,0,0,0,0,0,0,,No Report
Kenya,African Region of WHO,Eastern Africa,2006,26,2006-06-26,2006-07-02,,4,0,,0,,0,0,0,0,2,2,2,,No Report
Kenya,African Region of WHO,Eastern Africa,2006,27,2006-07-03,2006-07-09,,6,0,,0,,0,0,0,0,1,1,1,,No Report
Kenya,African Region of WHO,Eastern Africa,2006,29,2006-07-17,2006-07-23,,7,0,,1,,0,1,0,0,1,1,2,,No Report
Kenya,African Region of WHO,Eastern Africa,2006,30,2006-07-24,2006-07-30,,7,0,,2,,0,2,0,0,0,0,2,,Sporadic
Kenya,African Region of WHO,Eastern Africa,2006,32,2006-08-07,2006-08-13,,9,0,,1,,0,1,0,0,4,4,5,,Sporadic
Kenya,African Region of WHO,Eastern Africa,2006,34,2006-08-21,2006-08-27,,3,0,,0,,0,0,0,0,0,0,0,,No Report
Kenya,African Region of WHO,Eastern Africa,2006,35,2006-08-28,2006-09-03,,14,0,,0,,0,0,0,0,4,4,4,,No Report
Kenya,African Region of WHO,Eastern Africa,2006,37,2006-09-11,2006-09-17,,1,0,,0,,0,0,0,0,1,1,1,,Sporadic
Kenya,African Region of WHO,Eastern Africa,2006,38,2006-09-18,2006-09-24,,25,0,,1,,0,1,0,5,0,5,6,,No Report
Kenya,African Region of WHO,Eastern Africa,2006,39,2006-09-25,2006-10-01,,30,0,,1,,0,1,0,1,0,1,2,,No Report
Kenya,African Region of WHO,Eastern Africa,2006,40,2006-10-02,2006-10-08,,43,0,,0,,0,0,0,1,0,1,1,,No Report
Kenya,African Region of WHO,Eastern Africa,2006,41,2006-10-09,2006-10-15,,23,0,,0,,0,0,0,0,0,0,0,,No Report
Kenya,African Region of WHO,Eastern Africa,2006,42,2006-10-16,2006-10-22,,26,0,,0,,0,0,0,0,1,1,1,,No Report
Kenya,African Region of WHO,Eastern Africa,2006,43,2006-10-23,2006-10-29,,22,0,,0,,0,0,0,0,0,0,0,,No Report
