textbox22
generated on 06/09/2018 19:09:23 UTC

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
South Africa,African Region of WHO,Southern Africa,1997,4,1997-01-20,1997-01-26,,1,,,1,,,1,,,0,0,1,,No Activity
South Africa,African Region of WHO,Southern Africa,1997,8,1997-02-17,1997-02-23,,,,,,,,0,,,2,2,2,,No Report
South Africa,African Region of WHO,Southern Africa,1997,11,1997-03-10,1997-03-16,,,,,1,,,1,,,0,0,1,,No Report
South Africa,African Region of WHO,Southern Africa,1997,20,1997-05-12,1997-05-18,,,,,1,,,1,,,0,0,1,,No Report
South Africa,African Region of WHO,Southern Africa,1997,21,1997-05-19,1997-05-25,,,,,1,,,1,,,0,0,1,,No Report
South Africa,African Region of WHO,Southern Africa,1997,24,1997-06-09,1997-06-15,,,,,1,,,1,,,0,0,1,,No Report
South Africa,African Region of WHO,Southern Africa,1997,25,1997-06-16,1997-06-22,,,,,1,,,1,,,0,0,1,,No Report
South Africa,African Region of WHO,Southern Africa,1997,26,1997-06-23,1997-06-29,,14,,,10,,4,14,,,0,0,14,,Sporadic
South Africa,African Region of WHO,Southern Africa,1997,27,1997-06-30,1997-07-06,,19,,,14,,5,19,,,0,0,19,,Sporadic
South Africa,African Region of WHO,Southern Africa,1997,28,1997-07-07,1997-07-13,,20,,,17,,1,18,,,2,2,20,,Sporadic
South Africa,African Region of WHO,Southern Africa,1997,29,1997-07-14,1997-07-20,,13,,,5,,3,8,,,5,5,13,,Sporadic
South Africa,African Region of WHO,Southern Africa,1997,30,1997-07-21,1997-07-27,,5,,,2,,1,3,,,2,2,5,,Sporadic
South Africa,African Region of WHO,Southern Africa,1997,31,1997-07-28,1997-08-03,,16,,,7,,2,9,,,7,7,16,,Sporadic
South Africa,African Region of WHO,Southern Africa,1997,32,1997-08-04,1997-08-10,,31,11,,,,2,13,,,18,18,31,,Sporadic
South Africa,African Region of WHO,Southern Africa,1997,33,1997-08-11,1997-08-17,,4,,,1,,1,2,,,2,2,4,,Sporadic
South Africa,African Region of WHO,Southern Africa,1997,35,1997-08-25,1997-08-31,,,,,,,,0,,,0,0,0,,No Report
South Africa,African Region of WHO,Southern Africa,1997,40,1997-09-29,1997-10-05,,,,,,,,0,,,0,0,0,,No Report
South Africa,African Region of WHO,Southern Africa,1998,6,1998-02-02,1998-02-08,,,,,1,,,1,,,0,0,1,,Sporadic
South Africa,African Region of WHO,Southern Africa,1998,7,1998-02-09,1998-02-15,,,,,1,,,1,,,0,0,1,,No Report
South Africa,African Region of WHO,Southern Africa,1998,14,1998-03-30,1998-04-05,,,,,,,,0,,,0,0,0,,No Report
South Africa,African Region of WHO,Southern Africa,1998,15,1998-04-06,1998-04-12,,,,,1,,,1,,,0,0,1,,Sporadic
South Africa,African Region of WHO,Southern Africa,1998,16,1998-04-13,1998-04-19,,,,,1,,2,3,,,0,0,3,,Sporadic
South Africa,African Region of WHO,Southern Africa,1998,17,1998-04-20,1998-04-26,,,,,,,1,1,,,0,0,1,,No Report
South Africa,African Region of WHO,Southern Africa,1998,18,1998-04-27,1998-05-03,,,,,7,,17,24,,,0,0,24,,Local Outbreak
South Africa,African Region of WHO,Southern Africa,1998,19,1998-05-04,1998-05-10,,,,,4,,53,57,,,0,0,57,,Widespread Outbreak
South Africa,African Region of WHO,Southern Africa,1998,20,1998-05-11,1998-05-17,,,,,8,,60,68,,,0,0,68,,Widespread Outbreak
South Africa,African Region of WHO,Southern Africa,1998,21,1998-05-18,1998-05-24,,,,,8,,68,76,,,0,0,76,,Widespread Outbreak
South Africa,African Region of WHO,Southern Africa,1998,22,1998-05-25,1998-05-31,,,,,13,,52,65,,,0,0,65,,Widespread Outbreak
South Africa,African Region of WHO,Southern Africa,1998,23,1998-06-01,1998-06-07,,,2,,1,,33,36,,,0,0,36,,Widespread Outbreak
South Africa,African Region of WHO,Southern Africa,1998,24,1998-06-08,1998-06-14,,,,,1,,12,13,,,0,0,13,,Sporadic
South Africa,African Region of WHO,Southern Africa,1998,25,1998-06-15,1998-06-21,,,,,,,6,6,,,0,0,6,,Sporadic
South Africa,African Region of WHO,Southern Africa,1998,26,1998-06-22,1998-06-28,,,,,,,3,3,,,0,0,3,,Sporadic
South Africa,African Region of WHO,Southern Africa,1998,27,1998-06-29,1998-07-05,,,,,,,,0,,,0,0,0,,No Report
South Africa,African Region of WHO,Southern Africa,1998,29,1998-07-13,1998-07-19,,,,,,,,0,,,0,0,0,,No Report
South Africa,African Region of WHO,Southern Africa,1998,39,1998-09-21,1998-09-27,,,,,,,,0,,,0,0,0,,No Activity
South Africa,African Region of WHO,Southern Africa,1998,40,1998-09-28,1998-10-04,,,,,,,,0,,,0,0,0,,No Activity
South Africa,African Region of WHO,Southern Africa,1998,41,1998-10-05,1998-10-11,,,,,,,,0,,,0,0,0,,No Activity
South Africa,African Region of WHO,Southern Africa,1998,42,1998-10-12,1998-10-18,,,,,,,,0,,,0,0,0,,No Activity
South Africa,African Region of WHO,Southern Africa,1998,43,1998-10-19,1998-10-25,,,,,,,,0,,,0,0,0,,No Activity
South Africa,African Region of WHO,Southern Africa,1998,44,1998-10-26,1998-11-01,,,,,,,,0,,,0,0,0,,No Activity
South Africa,African Region of WHO,Southern Africa,1998,45,1998-11-02,1998-11-08,,,,,,,,0,,,0,0,0,,No Report
South Africa,African Region of WHO,Southern Africa,1998,51,1998-12-14,1998-12-20,,,,,,,,0,,,0,0,0,,Sporadic
South Africa,African Region of WHO,Southern Africa,1998,52,1998-12-21,1998-12-27,,,,,,,,0,,,0,0,0,,Sporadic
South Africa,African Region of WHO,Southern Africa,1998,53,1998-12-28,1999-01-03,,,,,,,,0,,,0,0,0,,No Activity
South Africa,African Region of WHO,Southern Africa,1999,1,1999-01-04,1999-01-10,,,,,,,,0,,,1,1,1,,Sporadic
South Africa,African Region of WHO,Southern Africa,1999,2,1999-01-11,1999-01-17,,,,,,,,0,,,0,0,0,,No Activity
South Africa,African Region of WHO,Southern Africa,1999,3,1999-01-18,1999-01-24,,,,,,,,0,,,0,0,0,,No Activity
South Africa,African Region of WHO,Southern Africa,1999,4,1999-01-25,1999-01-31,,,,,,,,0,,,0,0,0,,No Activity
South Africa,African Region of WHO,Southern Africa,1999,5,1999-02-01,1999-02-07,,,,,,,,0,,,0,0,0,,No Activity
South Africa,African Region of WHO,Southern Africa,1999,6,1999-02-08,1999-02-14,,,,,,,,0,,,0,0,0,,No Activity
