textbox22
generated on 06/09/2018 19:37:07 UTC

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Uganda,African Region of WHO,Eastern Africa,2006,13,2006-03-27,2006-04-02,,15,0,,0,,0,0,,,0,0,0,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2006,14,2006-04-03,2006-04-09,,6,0,,0,,0,0,,,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2006,25,2006-06-19,2006-06-25,,2,0,,0,,0,0,,,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2006,34,2006-08-21,2006-08-27,,6,0,,0,,0,0,,,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2006,37,2006-09-11,2006-09-17,,4,0,,0,,0,0,,,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2006,38,2006-09-18,2006-09-24,,2,0,,0,,0,0,,,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2006,49,2006-12-04,2006-12-10,,2,0,,0,,0,0,,,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2007,2,2007-01-08,2007-01-14,,2,0,,0,,0,0,,,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2007,6,2007-02-05,2007-02-11,,4,0,,0,,0,0,,,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2007,8,2007-02-19,2007-02-25,,0,0,,0,,0,0,,,0,0,0,,No Report
Uganda,African Region of WHO,Eastern Africa,2007,9,2007-02-26,2007-03-04,,0,0,,0,,0,0,,,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2007,10,2007-03-05,2007-03-11,,0,0,,0,,0,0,,,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2007,11,2007-03-12,2007-03-18,,0,0,,0,,0,0,,,0,0,0,,No Report
Uganda,African Region of WHO,Eastern Africa,2007,12,2007-03-19,2007-03-25,,0,0,,0,,0,0,,,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2007,13,2007-03-26,2007-04-01,,15,0,,0,,0,0,,,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2007,14,2007-04-02,2007-04-08,,6,0,,0,,0,0,,,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2007,15,2007-04-09,2007-04-15,,0,0,,0,,0,0,,,0,0,0,,No Report
Uganda,African Region of WHO,Eastern Africa,2007,16,2007-04-16,2007-04-22,,29,0,,0,,0,0,,,0,0,0,,No Report
Uganda,African Region of WHO,Eastern Africa,2007,17,2007-04-23,2007-04-29,,11,0,,0,,0,0,,,0,0,0,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,19,2007-05-07,2007-05-13,,1,0,,0,,0,0,,,0,0,0,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,20,2007-05-14,2007-05-20,,10,0,,0,,0,0,,,0,0,0,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,21,2007-05-21,2007-05-27,,9,0,,0,,0,0,,,1,1,1,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,22,2007-05-28,2007-06-03,,7,0,,0,,1,1,,,0,0,1,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,23,2007-06-04,2007-06-10,,2,0,,0,,0,0,,,0,0,0,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,26,2007-06-25,2007-07-01,,18,0,,3,,0,3,,,0,0,3,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,27,2007-07-02,2007-07-08,,5,0,,1,,0,1,,,0,0,1,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,28,2007-07-09,2007-07-15,,26,0,,6,,0,6,,,0,0,6,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,29,2007-07-16,2007-07-22,,1,0,,0,,0,0,,,0,0,0,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,30,2007-07-23,2007-07-29,,5,0,,1,,0,1,,,0,0,1,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,32,2007-08-06,2007-08-12,,13,0,,3,,0,3,,,0,0,3,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,33,2007-08-13,2007-08-19,,13,0,,1,,0,1,,,0,0,1,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,34,2007-08-20,2007-08-26,,2,0,,0,,0,0,,,0,0,0,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,35,2007-08-27,2007-09-02,,27,0,,3,,0,3,,,1,1,4,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,36,2007-09-03,2007-09-09,,32,0,,2,,0,2,,,2,2,4,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,37,2007-09-10,2007-09-16,,3,0,,0,,0,0,,,0,0,0,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,38,2007-09-17,2007-09-23,,13,0,,3,,0,3,,,0,0,3,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,39,2007-09-24,2007-09-30,,10,0,,1,,0,1,,,0,0,1,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,40,2007-10-01,2007-10-07,,7,0,,0,,0,0,,,1,1,1,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,41,2007-10-08,2007-10-14,,25,0,,0,,0,0,0,0,0,0,0,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,42,2007-10-15,2007-10-21,,40,2,,0,,1,3,0,0,0,0,3,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,43,2007-10-22,2007-10-28,,38,4,,1,,0,5,0,0,0,0,5,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,44,2007-10-29,2007-11-04,,17,1,,0,,0,1,0,0,0,0,1,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,45,2007-11-05,2007-11-11,,27,3,,0,,0,3,0,0,1,1,4,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,46,2007-11-12,2007-11-18,,5,0,,0,,0,0,0,0,1,1,1,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,47,2007-11-19,2007-11-25,,2,0,,0,,0,0,0,0,0,0,0,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,48,2007-11-26,2007-12-02,,22,1,,0,,1,2,0,0,1,1,3,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,49,2007-12-03,2007-12-09,,3,0,,0,,0,0,0,0,0,0,0,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,50,2007-12-10,2007-12-16,,9,0,,0,,0,0,0,0,1,1,1,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,51,2007-12-17,2007-12-23,,17,0,,0,,0,0,0,0,4,4,4,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2007,52,2007-12-24,2007-12-30,,7,0,,0,,0,0,0,0,0,0,0,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2008,1,2007-12-31,2008-01-06,,0,0,,0,,0,0,0,0,0,0,0,,No Report
Uganda,African Region of WHO,Eastern Africa,2008,2,2008-01-07,2008-01-13,,23,1,,0,,0,1,0,0,2,2,3,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2008,3,2008-01-14,2008-01-20,,9,0,,0,,0,0,0,0,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2008,4,2008-01-21,2008-01-27,,20,1,,0,,0,1,0,0,0,0,1,,No Activity
Uganda,African Region of WHO,Eastern Africa,2008,5,2008-01-28,2008-02-03,,0,0,,0,,0,0,0,0,0,0,0,,No Report
Uganda,African Region of WHO,Eastern Africa,2008,6,2008-02-04,2008-02-10,,0,0,,0,,0,0,0,0,0,0,0,,No Report
Uganda,African Region of WHO,Eastern Africa,2008,7,2008-02-11,2008-02-17,,24,0,,0,,0,0,0,0,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2008,8,2008-02-18,2008-02-24,,16,0,,0,,0,0,0,0,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2008,9,2008-02-25,2008-03-02,,15,0,,0,,0,0,0,0,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2008,10,2008-03-03,2008-03-09,,31,0,,0,,0,0,0,0,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2008,11,2008-03-10,2008-03-16,,2,0,,0,,0,0,0,0,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2008,12,2008-03-17,2008-03-23,,9,0,,0,,0,0,0,0,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2008,13,2008-03-24,2008-03-30,,14,0,,0,,0,0,0,0,2,2,2,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2008,14,2008-03-31,2008-04-06,,34,0,,0,,0,0,0,0,3,3,3,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2008,15,2008-04-07,2008-04-13,,32,0,,0,,0,0,0,0,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2008,16,2008-04-14,2008-04-20,,38,0,,0,,0,0,0,0,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2008,17,2008-04-21,2008-04-27,,,0,,0,,0,0,0,0,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2008,18,2008-04-28,2008-05-04,,0,0,,0,,0,0,0,0,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2008,19,2008-05-05,2008-05-11,,0,0,,0,,0,0,0,0,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2008,20,2008-05-12,2008-05-18,,13,0,,0,,1,1,0,0,0,0,1,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2008,21,2008-05-19,2008-05-25,,18,0,,0,,0,0,0,0,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2008,22,2008-05-26,2008-06-01,,10,0,,0,,0,0,0,0,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2008,23,2008-06-02,2008-06-08,,0,0,,0,,0,0,0,0,0,0,0,,No Report
Uganda,African Region of WHO,Eastern Africa,2008,24,2008-06-09,2008-06-15,,0,0,,0,,0,0,0,0,0,0,0,,No Report
Uganda,African Region of WHO,Eastern Africa,2008,25,2008-06-16,2008-06-22,,1,0,,0,,0,0,0,0,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2008,26,2008-06-23,2008-06-29,,2,2,,0,,0,2,0,0,0,0,2,,Sporadic
Uganda,African Region of WHO,Eastern Africa,2009,31,2009-07-27,2009-08-02,19,19,2,0,0,0,2,4,0,0,8,8,12,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2009,32,2009-08-03,2009-08-09,10,10,3,0,0,0,0,3,0,0,3,3,6,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2009,33,2009-08-10,2009-08-16,17,17,1,0,1,0,0,2,0,0,2,2,4,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2009,34,2009-08-17,2009-08-23,8,8,1,2,0,0,0,3,0,0,0,0,3,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2009,35,2009-08-24,2009-08-30,4,4,0,1,0,0,0,1,0,0,0,0,1,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2009,36,2009-08-31,2009-09-06,27,27,5,6,0,0,0,11,0,0,0,0,11,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2009,37,2009-09-07,2009-09-13,54,54,10,11,0,0,0,21,0,0,0,0,21,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2009,38,2009-09-14,2009-09-20,93,93,3,19,0,0,5,27,0,0,0,0,27,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2009,39,2009-09-21,2009-09-27,181,181,4,16,3,0,0,23,0,0,1,1,24,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2009,40,2009-09-28,2009-10-04,100,100,8,5,0,0,0,13,0,0,3,3,16,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2009,41,2009-10-05,2009-10-11,94,94,21,49,0,0,0,70,0,0,0,0,70,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2009,42,2009-10-12,2009-10-18,35,35,18,35,0,0,0,53,0,0,0,0,53,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2009,43,2009-10-19,2009-10-25,7,7,5,34,0,0,0,39,0,0,0,0,39,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2009,44,2009-10-26,2009-11-01,19,19,0,4,0,0,0,4,0,0,0,0,4,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2009,45,2009-11-02,2009-11-08,14,14,1,6,0,0,0,7,0,0,0,0,7,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2009,46,2009-11-09,2009-11-15,24,24,0,13,0,0,0,13,0,0,4,4,17,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2009,47,2009-11-16,2009-11-22,2,2,0,1,0,0,0,1,0,0,1,1,2,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2009,48,2009-11-23,2009-11-29,4,4,0,0,0,0,0,0,0,0,0,0,0,,Local Outbreak
Uganda,African Region of WHO,Eastern Africa,2009,49,2009-11-30,2009-12-06,4,4,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2009,50,2009-12-07,2009-12-13,33,33,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2009,51,2009-12-14,2009-12-20,12,12,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Uganda,African Region of WHO,Eastern Africa,2010,1,2010-01-04,2010-01-10,16,16,0,1,1,0,0,2,0,0,1,1,3,,Sporadic
