textbox22
generated on 06/09/2018 19:20:13 UTC

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Zambia,African Region of WHO,Eastern Africa,1996,52,1996-12-23,1996-12-29,,0,0,,0,,0,0,,,0,0,0,,No Activity
Zambia,African Region of WHO,Eastern Africa,1997,1,1996-12-30,1997-01-05,,0,0,,0,,0,0,,,0,0,0,,No Activity
Zambia,African Region of WHO,Eastern Africa,1997,2,1997-01-06,1997-01-12,,0,0,,0,,0,0,,,0,0,0,,No Activity
Zambia,African Region of WHO,Eastern Africa,1997,3,1997-01-13,1997-01-19,,0,0,,0,,0,0,,,0,0,0,,No Activity
Zambia,African Region of WHO,Eastern Africa,1997,4,1997-01-20,1997-01-26,,0,0,,0,,0,0,,,0,0,0,,No Activity
Zambia,African Region of WHO,Eastern Africa,1997,5,1997-01-27,1997-02-02,,4,0,,4,,0,4,,,0,0,4,,Local Outbreak
Zambia,African Region of WHO,Eastern Africa,1997,6,1997-02-03,1997-02-09,,4,0,,1,,,1,,,0,0,1,,Local Outbreak
Zambia,African Region of WHO,Eastern Africa,1997,7,1997-02-10,1997-02-16,,0,0,,0,,0,0,,,0,0,0,,No Activity
Zambia,African Region of WHO,Eastern Africa,1997,8,1997-02-17,1997-02-23,,0,0,,0,,0,0,,,0,0,0,,No Activity
Zambia,African Region of WHO,Eastern Africa,1997,9,1997-02-24,1997-03-02,,0,0,,0,,0,0,,,0,0,0,,No Activity
Zambia,African Region of WHO,Eastern Africa,1997,10,1997-03-03,1997-03-09,,0,0,,0,,0,0,,,0,0,0,,No Activity
Zambia,African Region of WHO,Eastern Africa,1997,11,1997-03-10,1997-03-16,,0,0,,0,,0,0,,,0,0,0,,No Activity
Zambia,African Region of WHO,Eastern Africa,1997,12,1997-03-17,1997-03-23,,0,0,,0,,0,0,,,0,0,0,,No Activity
Zambia,African Region of WHO,Eastern Africa,1997,13,1997-03-24,1997-03-30,,0,0,,0,,0,0,,,0,0,0,,No Activity
Zambia,African Region of WHO,Eastern Africa,1997,14,1997-03-31,1997-04-06,,0,0,,0,,0,0,,,0,0,0,,No Activity
Zambia,African Region of WHO,Eastern Africa,1997,15,1997-04-07,1997-04-13,,0,0,,0,,0,0,,,0,0,0,,No Activity
Zambia,African Region of WHO,Eastern Africa,1997,16,1997-04-14,1997-04-20,,0,0,,0,,0,0,,,0,0,0,,No Activity
Zambia,African Region of WHO,Eastern Africa,1997,17,1997-04-21,1997-04-27,,0,0,,0,,0,0,,,0,0,0,,No Activity
