WHO_REGION,ISO_code,Cname,Disease,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AFR,DZA,Algeria,yfever,0,0,0,,,0,0,0,0,0,,,,,,,,0,,,0,,,0,0,0,0,,,,,,,,,,,
AFR,AGO,Angola,yfever,0,881,3,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,,,,,,0,0,0,37,,,,,,,,
AFR,BEN,Benin,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,31,57,0,0,10,0,6,20,109,47,,,,,,,,,,,,,,,
AFR,BWA,Botswana,yfever,0,0,0,,,,,,,,0,,0,,,0,,,,,0,0,,,,,,,,,,,,,,,,
AFR,BFA,Burkina Faso,yfever,5,1,2,0,0,0,1024,7,1,4,2,3,19,14,1,288,0,0,3,2,0,1,0,,,,,,,,,,7,17,356,,,
AFR,BDI,Burundi,yfever,,,,,,,0,0,0,0,0,0,,0,,,,,0,0,0,,260,,,,,,,,,,,,,,,
AFR,CPV,Cabo Verde,yfever,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,
AFR,CMR,Cameroon,yfever,4,61,2,3,15,31,29,16,8,2,2,1,2,3,2,0,0,,,,0,,,10,,,0,173,0,0,,,,1,,,,7
AFR,CAF,Central African Republic (the),yfever,0,0,0,0,4,0,7,6,29,5,0,1,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
AFR,TCD,Chad,yfever,0,1,0,0,5,48,122,79,3,0,,0,0,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,
AFR,COM,Comoros (the),yfever,0,,0,0,,,,0,0,0,0,0,0,0,0,,,,0,,0,,,,,,,,,,,,,,,,,
AFR,COG,Congo (the),yfever,0,0,0,0,1,1,188,0,1,0,0,0,0,0,0,,0,,0,,0,0,,,,,,,,,,,,,,,,
AFR,CIV,Côte d'Ivoire,yfever,11,3,15,21,6,5,10,49,22,14,0,2,2,0,1,158,80,,1,0,11,0,,,,,,,,,,,,,,25,,
AFR,COD,Democratic Republic of the Congo (the),yfever,2,77,0,3,,1,195,289,0,113,204,81,140,1192,18,,36,,0,0,0,,,,,,,,,,,,,,,,,
AFR,GNQ,Equatorial Guinea,yfever,0,0,0,0,0,0,0,0,0,10,,,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,
AFR,ERI,Eritrea,yfever,0,0,,,0,0,,,,,,,,0,,,,,,,0,0,0,,,,,,,,,,,,,,,
AFR,SWZ,Eswatini,yfever,,,,,0,0,0,,0,0,0,0,0,0,,,,,0,,0,0,0,,,,,,,,,,,,,,,
AFR,ETH,Ethiopia,yfever,0,0,,,223,0,,,,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,
AFR,GAB,Gabon,yfever,0,0,1,0,0,0,0,0,0,0,0,57,0,,,0,2,,,,,0,16,28,0,0,,,,,,,,,,,,
AFR,GMB,Gambia,yfever,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,,0,,0,,,,,,,,,,,,,,,,,
AFR,GHA,Ghana,yfever,0,1,0,0,7,3,30,155,0,0,0,79,2,1,24,51,0,0,0,0,6,182,0,79,39,0,0,0,0,0,,,,,372,6,4,9
AFR,GIN,Guinea,yfever,1,4,,2,2,0,0,2,4,5,0,6,215,6,51,39,273,445,0,0,0,0,,,,,,,,,5,,,,,,,
AFR,GNB,Guinea-Bissau,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,0,0,,,,,,,,,,,,,,,,
AFR,KEN,Kenya,yfever,0,3,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,11,7,27,27,,,,,,,,,,,,
AFR,LSO,Lesotho,yfever,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,
AFR,LBR,Liberia,yfever,1,0,1,1,0,17,0,1,1,1,0,26,41,4,54,74,158,137,,25,3,,360,,,,,,,,,,,,,,,
AFR,MDG,Madagascar,yfever,,,,,,,0,0,0,,,,,,,0,0,,0,,0,,,,,,,,,,,,,,,,,
AFR,MWI,Malawi,yfever,0,0,0,0,0,,,,,,,,,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,
AFR,MLI,Mali,yfever,0,0,10,1,0,0,0,3,4,0,1,0,43,1,0,0,0,0,0,0,0,0,,,,,,,,,305,,,,,,,
AFR,MRT,Mauritania,yfever,,0,0,,0,0,,,,0,0,0,,0,10,0,0,,,0,0,,,,,,,,,,21,,,,,,,
AFR,MUS,Mauritius,yfever,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,
AFR,MOZ,Mozambique,yfever,0,,0,,,,,,,0,0,,,,,,0,0,,,0,,,,,,,,,,,,,,,,,
AFR,NAM,Namibia,yfever,0,0,0,0,,,0,0,0,3,0,,,0,,,0,,0,0,0,,,,,,,,,,,,,,,,,
AFR,NER,Niger (the),yfever,0,0,0,0,0,0,20,0,0,0,,0,,0,0,0,0,0,0,0,0,,0,,,,0,,0,,0,,,,,,,
AFR,NGA,Nigeria,yfever,26,0,0,0,0,0,387,0,0,0,0,,,,,0,5,0,,0,7,0,,1227,152,149,2561,4075,3270,5067,2676,1318,6,898,15,,,8
AFR,RWA,Rwanda,yfever,0,0,0,0,0,0,0,,,,,,0,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,
AFR,STP,Sao Tome and Principe,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,
AFR,SEN,Senegal,yfever,0,0,1,0,2,1,7,1,0,0,0,1,7,1,163,,18,0,0,,0,,,,0,0,0,,,,,,,,,,3,
AFR,SYC,Seychelles,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,
AFR,SLE,Sierra Leone,yfever,0,0,0,0,3,94,361,0,3,111,0,12,3,0,95,0,,1,,,0,,1,,,,,,,,,,,,,,,
AFR,ZAF,South Africa,yfever,0,0,0,0,0,,0,,0,,,0,0,0,0,,0,0,,0,0,0,,,0,0,0,0,0,,,,,,,,,
AFR,SSD,South Sudan,yfever,0,,0,0,,0,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,TGO,Togo,yfever,0,0,0,0,0,12,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,,0,,,,,,,,5,,,1,,,,
AFR,UGA,Uganda,yfever,3,8,,,,32,66,106,0,0,0,0,0,,11,,,0,,0,0,,,,,,,,,,,,,,,,,
AFR,TZA,United Republic of Tanzania,yfever,0,,,,0,0,,,,,0,0,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,
AFR,ZMB,Zambia,yfever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,,,,,,,,,,,,,,,
AFR,ZWE,Zimbabwe,yfever,0,,0,,,0,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,
