date,flu,flu symptoms,swine flu,what is flu,symptoms of flu,swine flu symptoms,flu remedies,flu vaccine,flu medication,flu during pregnancy,flu like symptoms,flu treatment,colds and flu,home remedies for flu,h1n1,symptoms of the flu,how to get rid of flu,mono,meningitis,rsv,meningitis symptoms,symptoms of meningitis,meningitis causes,viral meningitis,tb meningitis,cryptococcal meningitis,encephalitis,rsv virus,rsv virus in babies,pneumonia,longontsteking,pneumonia symptoms,symptoms of pneumonia,bronchitis,what is pneumonia,bronchial pneumonia,pcp
2012-06-03,51.2,0.0,0.7746478873239436,24.444444444444443,27.5,0.0,23.91304347826087,20.408163265306122,100.0,67.24137931034483,0.0,80.55555555555556,0.0,34.146341463414636,100.0,55.55555555555556,0.0,36.0,56.0,29.166666666666668,15.86046511627907,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,14.602739726027396,0.0,17.857142857142858,0.0,79.0,48.21428571428571,0.0,42.0
2012-06-10,61.6,16.666666666666668,0.7746478873239436,100.0,27.5,1.3888888888888888,71.73913043478261,0.0,63.265306122448976,0.0,37.5,80.55555555555556,0.0,36.58536585365854,29.0,0.0,0.0,43.0,29.0,0.0,10.744186046511627,28.205128205128204,74.4186046511628,65.625,0.0,100.0,47.0,0.0,0.0,46.054794520547944,67.90123456790124,39.285714285714285,35.064935064935064,81.0,48.21428571428571,0.0,57.0
2012-06-17,68.8,12.5,0.7746478873239436,48.888888888888886,0.0,1.3888888888888888,71.73913043478261,20.408163265306122,20.408163265306122,34.48275862068966,35.714285714285715,38.888888888888886,82.85714285714286,70.73170731707317,72.0,0.0,0.0,16.0,100.0,45.833333333333336,10.744186046511627,0.0,25.58139534883721,100.0,33.333333333333336,0.0,31.0,25.396825396825395,0.0,23.58904109589041,0.0,17.857142857142858,70.12987012987013,45.0,0.0,0.0,42.0
2012-06-24,46.4,20.833333333333332,2.464788732394366,26.666666666666668,15.0,0.0,0.0,0.0,0.0,36.206896551724135,0.0,41.666666666666664,42.857142857142854,0.0,61.0,0.0,0.0,50.0,30.0,16.666666666666668,22.51162790697674,56.41025641025641,0.0,68.75,0.0,35.0,82.0,25.396825396825395,0.0,43.80821917808219,0.0,100.0,35.064935064935064,37.0,0.0,0.0,30.0
2012-07-01,58.4,29.166666666666668,1.619718309859155,51.111111111111114,28.75,1.3888888888888888,73.91304347826087,20.408163265306122,0.0,0.0,0.0,0.0,42.857142857142854,0.0,45.0,55.55555555555556,0.0,32.0,62.0,45.833333333333336,11.25581395348837,56.41025641025641,25.58139534883721,34.375,0.0,0.0,32.0,0.0,0.0,36.50684931506849,0.0,17.857142857142858,0.0,82.0,48.21428571428571,0.0,44.0
2012-07-08,48.8,27.083333333333332,0.7746478873239436,73.33333333333333,27.5,0.0,47.82608695652174,0.0,81.63265306122449,0.0,0.0,38.888888888888886,40.0,0.0,29.0,0.0,62.5,47.0,61.0,45.833333333333336,16.372093023255815,0.0,48.83720930232558,34.375,0.0,0.0,16.0,25.396825396825395,0.0,23.58904109589041,98.76543209876543,57.142857142857146,0.0,98.0,48.21428571428571,30.40575243965074,42.0
2012-07-15,42.4,31.25,0.7746478873239436,46.666666666666664,40.0,1.3888888888888888,91.30434782608695,0.0,0.0,100.0,0.0,38.888888888888886,0.0,68.29268292682927,69.0,55.55555555555556,0.0,30.0,38.0,70.83333333333333,15.348837209302324,25.641025641025642,46.51162790697674,0.0,64.1025641025641,0.0,30.0,47.61904761904762,0.0,34.26027397260274,61.7283950617284,71.42857142857143,0.0,60.0,0.0,28.762198253723675,68.0
2012-07-22,57.6,14.583333333333334,1.4788732394366197,0.0,0.0,0.0,21.73913043478261,19.387755102040817,19.387755102040817,98.27586206896552,0.0,38.888888888888886,0.0,100.0,55.0,0.0,0.0,54.0,44.0,29.166666666666668,25.58139534883721,76.92307692307692,46.51162790697674,0.0,0.0,0.0,59.0,46.03174603174603,0.0,22.46575342465753,0.0,0.0,0.0,59.0,0.0,0.0,27.0
2012-07-29,48.0,14.583333333333334,1.408450704225352,22.22222222222222,12.5,2.525252525252525,21.73913043478261,0.0,0.0,32.758620689655174,100.0,0.0,0.0,0.0,94.0,0.0,0.0,44.0,46.0,66.66666666666667,10.232558139534882,25.641025641025642,0.0,62.5,30.76923076923077,0.0,44.0,0.0,0.0,49.42465753424657,0.0,53.57142857142857,0.0,66.0,42.857142857142854,0.0,13.0
2012-08-05,80.0,43.75,7.042253521126761,48.888888888888886,55.0,7.070707070707071,47.82608695652174,20.408163265306122,82.65306122448979,0.0,0.0,80.55555555555556,0.0,36.58536585365854,15.0,0.0,62.5,26.0,43.0,29.166666666666668,10.744186046511627,0.0,48.83720930232558,0.0,33.333333333333336,0.0,16.0,0.0,0.0,35.94520547945205,0.0,57.142857142857146,35.064935064935064,99.0,48.21428571428571,30.40575243965074,28.0
2012-08-12,69.6,39.583333333333336,4.929577464788732,88.88888888888889,100.0,7.575757575757576,0.0,0.0,37.755102040816325,31.03448275862069,0.0,72.22222222222223,0.0,31.70731707317073,26.0,55.55555555555556,0.0,24.0,49.0,12.5,24.55813953488372,100.0,23.25581395348837,90.625,0.0,0.0,28.0,0.0,0.0,21.904109589041095,30.8641975308642,50.0,0.0,89.0,42.857142857142854,0.0,77.0
2012-08-19,58.4,25.0,2.112676056338028,22.22222222222222,25.0,2.525252525252525,21.73913043478261,0.0,0.0,0.0,0.0,36.111111111111114,0.0,0.0,26.0,55.55555555555556,0.0,42.0,45.0,0.0,14.837209302325581,74.35897435897436,44.18604651162791,0.0,0.0,30.0,29.0,0.0,37.83783783783784,56.16438356164383,30.8641975308642,85.71428571428571,31.16883116883117,98.0,42.857142857142854,0.0,26.0
2012-08-26,36.8,18.75,1.408450704225352,66.66666666666667,25.0,1.2626262626262625,43.47826086956522,0.0,55.10204081632653,0.0,0.0,0.0,37.142857142857146,31.70731707317073,0.0,0.0,62.5,19.0,64.0,12.5,19.441860465116278,48.717948717948715,23.25581395348837,59.375,0.0,0.0,14.0,22.22222222222222,37.83783783783784,45.49315068493151,30.8641975308642,35.714285714285715,0.0,56.0,42.857142857142854,0.0,64.0
2012-09-02,40.0,4.166666666666667,1.408450704225352,22.22222222222222,0.0,0.0,0.0,18.367346938775512,0.0,31.03448275862069,32.142857142857146,0.0,0.0,0.0,13.0,0.0,0.0,19.0,22.0,25.0,24.55813953488372,97.43589743589743,44.18604651162791,31.25,0.0,0.0,57.0,0.0,0.0,56.16438356164383,30.8641975308642,85.71428571428571,0.0,97.0,42.857142857142854,0.0,0.0
2012-09-09,44.8,25.0,0.704225352112676,42.22222222222222,12.5,0.0,21.73913043478261,18.367346938775512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,37.0,41.0,12.5,9.720930232558139,48.717948717948715,20.930232558139537,28.125,0.0,0.0,83.0,0.0,0.0,31.452054794520546,30.8641975308642,67.85714285714286,62.33766233766234,55.0,42.857142857142854,26.296866974833073,100.0
2012-09-16,34.4,4.166666666666667,0.0,22.22222222222222,25.0,0.0,43.47826086956522,0.0,0.0,0.0,64.28571428571429,0.0,0.0,0.0,0.0,0.0,0.0,42.0,61.0,54.166666666666664,19.441860465116278,48.717948717948715,0.0,31.25,30.76923076923077,30.0,14.0,0.0,0.0,29.767123287671232,30.8641975308642,17.857142857142858,0.0,56.0,0.0,0.0,38.0
2012-09-23,32.0,8.333333333333334,1.5492957746478873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,62.5,78.0,28.0,0.0,10.744186046511627,25.641025641025642,0.0,0.0,100.0,0.0,31.0,0.0,0.0,38.1917808219178,30.8641975308642,92.85714285714286,35.064935064935064,44.0,48.21428571428571,0.0,14.0
2012-09-30,26.4,10.416666666666666,0.704225352112676,88.88888888888889,12.5,0.0,21.73913043478261,0.0,0.0,0.0,0.0,36.111111111111114,0.0,31.70731707317073,13.0,0.0,0.0,43.0,39.0,0.0,19.953488372093023,25.641025641025642,44.18604651162791,59.375,0.0,0.0,100.0,22.22222222222222,0.0,16.28767123287671,0.0,35.714285714285715,31.16883116883117,49.0,85.71428571428571,0.0,0.0
