Week number,From Date,To Date
Week 01,"December 31, 2007","January 6, 2008"
Week 02,"January 7, 2008","January 13, 2008"
Week 03,"January 14, 2008","January 20, 2008"
Week 04,"January 21, 2008","January 27, 2008"
Week 05,"January 28, 2008","February 3, 2008"
Week 06,"February 4, 2008","February 10, 2008"
Week 07,"February 11, 2008","February 17, 2008"
Week 08,"February 18, 2008","February 24, 2008"
Week 09,"February 25, 2008","March 2, 2008"
Week 10,"March 3, 2008","March 9, 2008"
Week 11,"March 10, 2008","March 16, 2008"
Week 12,"March 17, 2008","March 23, 2008"
Week 13,"March 24, 2008","March 30, 2008"
Week 14,"March 31, 2008","April 6, 2008"
Week 15,"April 7, 2008","April 13, 2008"
Week 16,"April 14, 2008","April 20, 2008"
Week 17,"April 21, 2008","April 27, 2008"
Week 18,"April 28, 2008","May 4, 2008"
Week 19,"May 5, 2008","May 11, 2008"
Week 20,"May 12, 2008","May 18, 2008"
Week 21,"May 19, 2008","May 25, 2008"
Week 22,"May 26, 2008","June 1, 2008"
Week 23,"June 2, 2008","June 8, 2008"
Week 24,"June 9, 2008","June 15, 2008"
Week 25,"June 16, 2008","June 22, 2008"
Week 26,"June 23, 2008","June 29, 2008"
Week 27,"June 30, 2008","July 6, 2008"
Week 28,"July 7, 2008","July 13, 2008"
Week 29,"July 14, 2008","July 20, 2008"
Week 30,"July 21, 2008","July 27, 2008"
Week 31,"July 28, 2008","August 3, 2008"
Week 32,"August 4, 2008","August 10, 2008"
Week 33,"August 11, 2008","August 17, 2008"
Week 34,"August 18, 2008","August 24, 2008"
Week 35,"August 25, 2008","August 31, 2008"
Week 36,"September 1, 2008","September 7, 2008"
Week 37,"September 8, 2008","September 14, 2008"
Week 38,"September 15, 2008","September 21, 2008"
Week 39,"September 22, 2008","September 28, 2008"
Week 40,"September 29, 2008","October 5, 2008"
Week 41,"October 6, 2008","October 12, 2008"
Week 42,"October 13, 2008","October 19, 2008"
Week 43,"October 20, 2008","October 26, 2008"
Week 44,"October 27, 2008","November 2, 2008"
Week 45,"November 3, 2008","November 9, 2008"
Week 46,"November 10, 2008","November 16, 2008"
Week 47,"November 17, 2008","November 23, 2008"
Week 48,"November 24, 2008","November 30, 2008"
Week 49,"December 1, 2008","December 7, 2008"
Week 50,"December 8, 2008","December 14, 2008"
Week 51,"December 15, 2008","December 21, 2008"
Week 52,"December 22, 2008","December 28, 2008"
