textbox22
generated on 06/09/2018 19:39:29 UTC

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Mozambique,African Region of WHO,Eastern Africa,2013,8,2013-02-18,2013-02-24,25,25,0,2,1,0,0,3,0,0,0,0,3,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,9,2013-02-25,2013-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,10,2013-03-04,2013-03-10,1,1,0,1,0,0,0,1,0,0,0,0,1,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,11,2013-03-11,2013-03-17,2,2,0,1,0,0,0,1,0,0,0,0,1,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,12,2013-03-18,2013-03-24,2,2,0,1,0,0,0,1,0,0,0,0,1,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,13,2013-03-25,2013-03-31,11,11,0,4,0,0,0,4,0,0,0,0,4,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,14,2013-04-01,2013-04-07,2,2,0,1,0,0,0,1,0,0,0,0,1,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,15,2013-04-08,2013-04-14,3,3,0,1,1,0,0,2,0,0,0,0,2,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,16,2013-04-15,2013-04-21,5,4,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,17,2013-04-22,2013-04-28,3,3,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,18,2013-04-29,2013-05-05,3,3,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,19,2013-05-06,2013-05-12,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,20,2013-05-13,2013-05-19,1,1,0,1,0,0,0,1,0,0,0,0,1,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,21,2013-05-20,2013-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Mozambique,African Region of WHO,Eastern Africa,2013,22,2013-05-27,2013-06-02,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Mozambique,African Region of WHO,Eastern Africa,2013,23,2013-06-03,2013-06-09,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Mozambique,African Region of WHO,Eastern Africa,2013,24,2013-06-10,2013-06-16,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Mozambique,African Region of WHO,Eastern Africa,2013,25,2013-06-17,2013-06-23,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Mozambique,African Region of WHO,Eastern Africa,2013,26,2013-06-24,2013-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Activity
Mozambique,African Region of WHO,Eastern Africa,2013,27,2013-07-01,2013-07-07,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,28,2013-07-08,2013-07-14,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,29,2013-07-15,2013-07-21,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,30,2013-07-22,2013-07-28,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,31,2013-07-29,2013-08-04,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,32,2013-08-05,2013-08-11,3,3,0,0,2,0,0,2,0,0,0,0,2,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,33,2013-08-12,2013-08-18,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,34,2013-08-19,2013-08-25,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,35,2013-08-26,2013-09-01,4,4,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,36,2013-09-02,2013-09-08,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,37,2013-09-09,2013-09-15,4,4,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,38,2013-09-16,2013-09-22,9,9,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,39,2013-09-23,2013-09-29,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,40,2013-09-30,2013-10-06,5,5,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,41,2013-10-07,2013-10-13,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,42,2013-10-14,2013-10-20,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,43,2013-10-21,2013-10-27,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,44,2013-10-28,2013-11-03,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,45,2013-11-04,2013-11-10,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,46,2013-11-11,2013-11-17,5,5,0,0,1,0,0,1,0,0,0,0,1,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,47,2013-11-18,2013-11-24,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,48,2013-11-25,2013-12-01,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,49,2013-12-02,2013-12-08,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,50,2013-12-09,2013-12-15,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,51,2013-12-16,2013-12-22,2,2,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2013,52,2013-12-23,2013-12-29,1,1,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2014,1,2013-12-30,2014-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2014,2,2014-01-06,2014-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2014,3,2014-01-13,2014-01-19,3,3,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2014,4,2014-01-20,2014-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2014,5,2014-01-27,2014-02-02,3,3,0,0,1,0,0,1,0,0,0,0,1,,No Report
Mozambique,African Region of WHO,Eastern Africa,2014,6,2014-02-03,2014-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2014,7,2014-02-10,2014-02-16,7,7,0,0,4,0,0,4,0,0,3,3,7,,No Report
Mozambique,African Region of WHO,Eastern Africa,2014,8,2014-02-17,2014-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
Mozambique,African Region of WHO,Eastern Africa,2014,9,2014-02-24,2014-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,,No Report
