Week number,From Date,To Date
Week 01,"January 4, 2016","January 10, 2016"
Week 02,"January 11, 2016","January 17, 2016"
Week 03,"January 18, 2016","January 24, 2016"
Week 04,"January 25, 2016","January 31, 2016"
Week 05,"February 1, 2016","February 7, 2016"
Week 06,"February 8, 2016","February 14, 2016"
Week 07,"February 15, 2016","February 21, 2016"
Week 08,"February 22, 2016","February 28, 2016"
Week 09,"February 29, 2016","March 6, 2016"
Week 10,"March 7, 2016","March 13, 2016"
Week 11,"March 14, 2016","March 20, 2016"
Week 12,"March 21, 2016","March 27, 2016"
Week 13,"March 28, 2016","April 3, 2016"
Week 14,"April 4, 2016","April 10, 2016"
Week 15,"April 11, 2016","April 17, 2016"
Week 16,"April 18, 2016","April 24, 2016"
Week 17,"April 25, 2016","May 1, 2016"
Week 18,"May 2, 2016","May 8, 2016"
Week 19,"May 9, 2016","May 15, 2016"
Week 20,"May 16, 2016","May 22, 2016"
Week 21,"May 23, 2016","May 29, 2016"
Week 22,"May 30, 2016","June 5, 2016"
Week 23,"June 6, 2016","June 12, 2016"
Week 24,"June 13, 2016","June 19, 2016"
Week 25,"June 20, 2016","June 26, 2016"
Week 26,"June 27, 2016","July 3, 2016"
Week 27,"July 4, 2016","July 10, 2016"
Week 28,"July 11, 2016","July 17, 2016"
Week 29,"July 18, 2016","July 24, 2016"
Week 30,"July 25, 2016","July 31, 2016"
Week 31,"August 1, 2016","August 7, 2016"
Week 32,"August 8, 2016","August 14, 2016"
Week 33,"August 15, 2016","August 21, 2016"
Week 34,"August 22, 2016","August 28, 2016"
Week 35,"August 29, 2016","September 4, 2016"
Week 36,"September 5, 2016","September 11, 2016"
Week 37,"September 12, 2016","September 18, 2016"
Week 38,"September 19, 2016","September 25, 2016"
Week 39,"September 26, 2016","October 2, 2016"
Week 40,"October 3, 2016","October 9, 2016"
Week 41,"October 10, 2016","October 16, 2016"
Week 42,"October 17, 2016","October 23, 2016"
Week 43,"October 24, 2016","October 30, 2016"
Week 44,"October 31, 2016","November 6, 2016"
Week 45,"November 7, 2016","November 13, 2016"
Week 46,"November 14, 2016","November 20, 2016"
Week 47,"November 21, 2016","November 27, 2016"
Week 48,"November 28, 2016","December 4, 2016"
Week 49,"December 5, 2016","December 11, 2016"
Week 50,"December 12, 2016","December 18, 2016"
Week 51,"December 19, 2016","December 25, 2016"
Week 52,"December 26, 2016","January 1, 2017"
